following;4;0.00957786%
fool;4;0.00957786%
forty;4;0.00957786%
freedom;4;0.00957786%
gaol;4;0.00957786%
gift;4;0.00957786%
gold;4;0.00957786%
gonna;4;0.00957786%
green;4;0.00957786%
guilty;4;0.00957786%
guns;4;0.00957786%
happens;4;0.00957786%
hardly;4;0.00957786%
heads;4;0.00957786%
hoping;4;0.00957786%
humour;4;0.00957786%
hung;4;0.00957786%
ice;4;0.00957786%
indeed;4;0.00957786%
interested;4;0.00957786%
invested;4;0.00957786%
joined;4;0.00957786%
joke;4;0.00957786%
judge;4;0.00957786%
killing;4;0.00957786%
knowing;4;0.00957786%
lay;4;0.00957786%
learn;4;0.00957786%
learning;4;0.00957786%
leave;4;0.00957786%
legal;4;0.00957786%
letter;4;0.00957786%
lips;4;0.00957786%
lives;4;0.00957786%
lower;4;0.00957786%
lunch;4;0.00957786%
meat;4;0.00957786%
meet;4;0.00957786%
mid;4;0.00957786%
miles;4;0.00957786%
mother;4;0.00957786%
names;4;0.00957786%
neatly;4;0.00957786%
needed;4;0.00957786%
none;4;0.00957786%
noticed;4;0.00957786%
older;4;0.00957786%
order;4;0.00957786%
outer;4;0.00957786%
pack;4;0.00957786%
pages;4;0.00957786%
parked;4;0.00957786%
particular;4;0.00957786%
partner;4;0.00957786%
passing;4;0.00957786%
pebbles;4;0.00957786%
perfectly;4;0.00957786%
pigeon;4;0.00957786%
polished;4;0.00957786%
poor;4;0.00957786%
posters;4;0.00957786%
potato;4;0.00957786%
project;4;0.00957786%
pull;4;0.00957786%
quietly;4;0.00957786%
rape;4;0.00957786%
reefer;4;0.00957786%
roll;4;0.00957786%
sat;4;0.00957786%
screaming;4;0.00957786%
seconds;4;0.00957786%
seventy;4;0.00957786%
sex;4;0.00957786%
